Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,720710.528,3171126.3232000005,230627.36896000002,8498618.546176001,104474.19813888002,8603092.744314881,7207105.28
2013,730608.778,3287739.501,241100.89674000003,8811141.862680001,109218.70622322001,8920360.56890322,7306087.78
2014,758441.789,3564676.4083000002,265454.62614999997,9553332.774244001,120250.94564594999,9673583.719889952,7584417.89
2015,828598.352,4142991.76,314867.37376,11103217.9168,142634.92031328,11245852.83711328,8285983.52
2016,842406.256,4422632.8440000005,336962.50240000006,11852656.021920001,152644.01358720002,12005300.0355072,8424062.56
2017,899856.446,4769239.1638,377939.70732,12781560.958984,171206.68741596,12952767.64639996,8998564.46
2018,943203.955,5281942.147999999,433873.8193,14155604.956639998,196544.8401429,14352149.796782898,9432039.549999999
2019,901749.214,4869445.755600001,387752.16202,13050114.625008002,175651.72939506,13225766.354403062,9017492.14
2020,889958.195,4894770.0725,391581.60579999996,13117983.794300001,177386.4674274,13295370.261727402,8899581.95
2021,1026889.162,5853268.2234000005,472369.01452,15686758.838712003,213983.16357756002,15900742.002289563,10268891.620000001
2022,1077792.232,6251194.9456,506562.34904,16753202.454208001,229472.74411512,16982675.198323123,10777922.32
2023,1200000.0,7200000.0,600000.0,19296000.0,271800.0,19567800.0,12000000.0
