Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,1237332.65,15590391.389999999,717652.9369999999,41782248.9252,325096.780461,42107345.705661,12373326.5
2013,1254326.2,15929942.739999998,740052.458,42692246.5432,335243.763474,43027490.306674,12543262.0
2014,1302110.56,16667015.168000001,781266.336,44667600.650240004,353913.65020800004,45021514.300448,13021105.600000001
2015,1422556.99,18635496.569,938887.6134,49943130.804919995,425316.08887020004,50368446.89379019,14225569.9
2016,1446262.72,19090667.904,1012383.9039999999,51162989.98272,458609.90851199994,51621599.891232,14462627.2
2017,1544894.54,20701586.836,1127773.0142,55480252.72048,510881.1754326001,55991133.8959126,15448945.4
2018,1619314.56,21860746.560000002,1214485.92,58586800.78080001,550162.12176,59136962.90256001,16193145.600000001
2019,1548144.09,20822538.0105,1130145.1857,55804401.86814,511955.7691221,56316357.6372621,15481440.9
2020,1527901.0,20473873.400000002,1100088.72,54869980.71200001,498340.19016,55368320.90216001,15279010.0
2021,1762987.27,24152925.599,1286980.7071,64729840.60532,583002.2603163,65312842.8656363,17629872.7
2022,1850378.85,25535228.130000003,1387784.1375000002,68434411.38840002,628666.2142875001,69063077.60268752,18503788.5
2023,2060188.0,28842632.0,1648150.4000000001,77298253.76,746612.1312000001,78044865.8912,20601880.0
