Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,2534498.689,21923413.659849998,1368629.29206,58754748.608398,619989.06930318,59374737.677701175,35482981.646
2013,2569307.536,22352975.563199997,1413119.1448000001,59905974.509376,640142.9725944,60546117.4819704,35970305.504
2014,2667186.957,23471245.2216,1520296.56549,62902937.193888,688694.34416697,63591631.53805497,37340617.398
2015,2913904.206,26370833.0643,1719203.4815399998,70673832.612324,778799.1771376199,71452631.78946161,40794658.883999996
2016,2962462.002,26958404.2182,1747852.5811799997,72248523.304776,791777.21927454,73040300.52405053,41474468.028
2017,3164495.167,29746254.5698,1930342.0518699999,79719962.24706401,874444.94949711,80594407.19656111,44302932.338
2018,3316933.909,31510872.1355,2056499.02358,84449137.32314,931594.05768174,85380731.38082173,46437074.725999996
2019,3171151.404,29808823.197600003,1934402.35644,79887646.16956802,876284.2674673201,80763930.43703534,44396119.656
2020,3129686.32,29106082.776,1877811.792,78004301.83968,850648.741776,78854950.581456,43815608.48
2021,3611226.886,34667778.1056,2275072.93818,92909645.323008,1030608.0409955401,93940253.36400354,50557176.404
2022,3790236.017,36765289.3649,2463653.41105,98530975.497932,1116034.99520565,99647010.49313766,53063304.238
2023,4220000.0,42200000.0,2954000.0,113096000.0,1338162.0,114434162.0,59080000.0
