Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,390384.869,5582503.6267,312307.8952,14961109.719556,141475.4765256,15102585.1960816,5465388.166
2013,395746.421,5698748.4624,320554.60101,15272645.879232,145211.23425752998,15417857.113489531,5540449.893999999
2014,410822.636,5998010.4856,336874.56152,16074668.101408001,152604.17636856,16227272.277776562,5751516.904
2015,448824.108,6642596.798400001,381500.4918,17802159.419712003,172819.72278540002,17974979.1424974,6283537.512
2016,456303.389,6798920.4961,396983.94843000005,18221106.929548003,179833.72863879002,18400940.658186793,6388247.446
2017,487422.241,7360075.8390999995,438680.0169,19725003.248788,198722.0476557,19923725.2964437,6823911.374
2018,510902.142,7867892.9868,470029.97064,21085953.204624,212923.57669992,21298876.78132392,7152629.988
2019,488447.491,7424401.8632,439602.74189999996,19897396.993376,199140.0420807,20096537.035456702,6838264.874
2020,482060.689,7279116.4039,429034.01321,19508031.962452002,194352.40798413,19702384.370436132,6748849.646
2021,556231.629,8565967.0866,517295.41497,22956791.792088002,234334.82298141,23191126.61506941,7787242.806
2022,583804.126,9107344.365600001,554613.9197,24407682.899808004,251240.1056241,24658923.005432103,8173257.764
2023,650000.0,10400000.0,650000.0,27872000.0,294450.0,28166450.0,9100000.0
