Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,438432.238,1797572.1757999999,184141.53996,4817493.431144,83416.11760188,4900909.54874588,3945890.142
2013,444453.673,1911150.7939,191115.07939,5121884.127652,86575.13096367,5208459.25861567,4000083.057
2014,461385.422,2122372.9412,207623.43990000003,5687959.482415999,94053.41827470002,5782012.900690699,4152468.7980000004
2015,504063.998,2469913.5902000004,241950.71904,6619368.421736002,109603.67572512,6728972.097461122,4536575.982
2016,512463.806,2562319.03,251107.26494,6867015.0004,113751.59101782,6980766.59141782,4612174.254
2017,547412.671,2846545.8892,279180.46220999997,7628742.983056,126468.74938113,7755211.73243713,4926714.039
2018,573782.406,3041046.7517999997,298366.85112,8150005.2948239995,135160.18355736,8285165.47838136,5164041.653999999
2019,548564.105,2852533.346,279767.69354999997,7644789.36728,126734.76517814999,7771524.132458149,4937076.945
2020,541391.235,2761095.2984999996,270695.6175,7399735.399979999,122625.1147275,7522360.514707499,4872521.115
2021,624690.907,3435799.9885,331086.18071000004,9207943.969180001,149982.03986163004,9357926.009041632,5622218.163
2022,655656.941,3671678.8696,367167.88696000003,9840099.370528,166327.05279288001,10006426.42332088,5900912.469
2023,730000.0,4380000.0,438000.0,11738400.0,198414.0,11936814.0,6570000.0
