Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,288284.211,1153136.844,149907.7897,3090406.742,67908.22874,3158314.971,2882842.11
2013,292243.511,1227422.746,160733.9311,3289492.96,72812.47077,3362305.431,2922435.11
2014,303376.716,1456208.237,172924.7281,3902638.075,78334.90184,3980972.976,3033767.16
2015,331439.341,1657196.705,195549.2112,4441287.169,88583.79267,4529870.962,3314393.41
2016,336962.503,1718508.765,202177.5018,4605603.491,91586.40832,4697189.899,3369625.03
2017,359942.578,1871701.406,223164.3984,5016159.767,101093.4725,5117253.239,3599425.78
2018,377281.582,2037320.543,245233.0283,5460019.055,111090.5618,5571109.617,3772815.82
2019,360699.686,1875638.367,223633.8053,5026710.824,101306.1138,5128016.938,3606996.86
2020,355983.278,1779916.39,213589.9668,4770175.925,96756.25496,4866932.18,3559832.78
2021,410755.665,2259156.157,295744.0788,6054538.502,133972.0677,6188510.57,4107556.65
2022,431116.893,2457366.29,323337.6698,6585741.657,146471.9644,6732213.622,4311168.93
2023,480000,2880000,384000,7718400,173952,7892352,4800000
