Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,16816578.98,100899473.88,4456393.4297,270410589.99840003,2018746.2236541002,272429336.2220541,201798947.76
2013,17047538.15,103137605.80749999,4602835.3005,276408783.56409997,2085084.3911265,278493867.9552265,204570457.79999998
2014,17696975.07,107951547.927,4955153.0196,289310148.44436,2244684.3178788,291554832.7622388,212363700.84
2015,19333961.56,121803957.828,5800188.467999999,326434606.97904,2627485.3760039997,329062092.355044,232007538.71999997
2016,19656145.98,124816526.97299999,6093405.2538,334508292.28764,2760312.5799714,337268604.86761135,235873751.76
2017,20996650.4,134378562.56,6718928.128,360134547.66080004,3043674.4419839997,363178222.10278404,251959804.79999998
2018,22008092.29,145253409.114,7702832.301499999,389279136.42552,3489383.0325794998,392768519.4580995,264097107.48
2019,21040815.0,135713256.75,6943468.95,363711528.09000003,3145391.43435,366856919.52435005,252489780.0
2020,20765691.22,134976992.93,7060335.0148,361738341.05240005,3198331.7617044,364936672.81410444,249188294.64
2021,23960747.11,160537005.637,8865476.4307,430239175.10716003,4016060.8231071,434255235.93026716,287528965.32
2022,25148485.42,171009700.856,9556424.459600002,458305998.29408,4329060.280198801,462635058.57427883,301781825.04
2023,28000000.0,196000000.0,11200000.0,525280000.00000006,5073600.0,530353600.00000006,336000000.0
