Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,444438.159,1955527.8996000001,222219.0795,5240814.770928001,100665.2430135,5341480.013941501,4444381.59
2013,450542.08,2072493.568,238787.30240000002,5554282.76224,108170.6479872,5662453.4102272,4505420.8
2014,467705.77,2198217.119,257238.17350000003,5891221.87892,116528.89259550002,6007750.7715155,4677057.7
2015,510968.984,2554844.92,296362.01071999996,6846984.385600001,134251.99085615997,6981236.376456161,5109689.84
2016,519483.858,2701316.0616,306495.47622,7239527.045088001,138842.45072766,7378369.495815661,5194838.58
2017,554911.475,2996521.965,338495.99974999996,8030678.8662,153338.68788674998,8184017.55408675,5549114.75
2018,581642.439,3257197.6584,372251.16096,8729289.724512001,168629.77591488,8897919.500426881,5816424.390000001
2019,556078.682,3002824.8828000003,350329.56966000004,8047570.685904001,158699.29505598,8206269.980959981,5560786.82
2020,548807.554,2908680.0362,340260.68348,7795262.497016001,154138.08961644,7949400.586632441,5488075.54
2021,633248.316,3482865.738,411611.4054,9334080.17784,186459.9666462,9520540.1444862,6332483.16
2022,664638.543,3721975.8407999994,438661.43838,9974895.253344,198713.63158614002,10173608.88493014,6646385.43
2023,740000.0,4440000.0,517999.99999999994,11899200.0,234653.99999999997,12133854.0,7400000.0
