Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,954941.449,11172814.9533,630261.35634,29943144.074844,285508.39442202,30228652.46926602,12414238.837000001
2013,968056.631,11423068.245800002,658278.5090800001,30613822.898744006,298200.16461324005,30912023.063357245,12584736.203000002
2014,1004935.37,12059224.44,703454.759,32318721.4992,318665.005827,32637386.505027,13064159.81
2015,1097892.817,13504081.649100002,801461.75641,36190938.819588006,363062.17565373005,36554000.99524174,14272606.621000001
2016,1116188.29,13952353.625,837141.2175,37392307.715,379224.9715275,37771532.686527506,14510447.77
2017,1192309.79,15500027.27,930001.6362000001,41540073.0836,421290.74119860004,41961363.8247986,15500027.27
2018,1249745.241,16496637.181199998,1037288.5500299999,44210987.645615995,469891.71316359,44680879.35877959,16246688.133
2019,1194817.709,15413148.4461,943905.99011,41307237.835548006,427589.41351983004,41734827.249067836,15532630.217
2020,1179194.609,15093690.9952,907979.84893,40451091.867136,411314.87156529,40862406.73870129,15329529.917
2021,1360628.139,18232417.0626,1115715.0739799999,48862877.727768004,505418.92851293995,49368296.65628094,17688165.807
2022,1428074.708,19421816.0288,1213863.5018,52050466.957184,549880.1663154,52600347.1234994,18564971.204
2023,1590000.0,22260000.0,1431000.0,59656800.0,648243.0,60305043.0,20670000.0
