Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,10618468.44,80700360.144,3504094.5852,216276965.18592,1587354.8470956,217864320.0330156,138040089.72
2013,10764302.66,82885130.48200001,3767505.931,222132149.69176003,1706680.186743,223838829.87850302,139935934.58
2014,11174375.69,88277567.951,4022775.2483999995,236583882.10868004,1822317.1875251997,238406199.29620525,145266883.97
2015,12208015.73,98884927.413,4761126.1347,265011605.46684003,2156790.1390191,267168395.60585913,158704204.49
2016,12411452.18,101773907.87599999,4964580.872,272754073.10767996,2248955.1350160004,275003028.242696,161348878.34
2017,13257884.96,112029127.912,5568311.6832,300238062.80416,2522445.1924896,302760507.9966496,172352504.48000002
2018,13896538.27,118120575.295,6114476.8388,316563141.7906,2769858.0079764,319332999.7985764,180654997.51
2019,13285771.76,112264771.372,5712881.8568,300869587.27696,2587935.4811304,303457522.75809044,172715032.88
2020,13112050.74,110141226.216,5507061.3108,295178486.25888,2494698.7737924,297673185.0326724,170456659.62
2021,15129500.32,130113702.752,680827514.4,348704723.37536,308414864.0232,657119587.39856,196683504.16
2022,15879472.22,138151408.31399998,7304557.2212000005,370245774.28151995,3308964.4212036002,373554738.70272356,206433138.86
2023,17680000.0,159120000.0,8840000.0,426441600.0,4004520.0,430446120.0,229840000.0
