Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,15122909.24,89225164.516,1814749.1088,239123440.90288,822081.3462864,239945522.2491664,196597820.12
2013,15330607.52,91983645.12,1992978.9776,246516168.9216,902819.4768528001,247418988.39845282,199297897.76
2014,15914636.87,97079284.90699999,2228049.1618,260172483.55076,1009306.2702953999,261181789.8210554,206890279.31
2015,17386755.43,109536559.20899999,2521079.53735,293557978.68012,1142049.03041955,294700027.7105395,226027820.59
2016,17676491.28,113129544.19200002,2651473.6920000003,303187178.43456006,1201117.582476,304388296.0170361,229794386.64000002
2017,18881987.75,122732920.375,3021118.04,328924226.605,1368566.47212,330292793.07712,245465840.75
2018,19791562.99,130624315.73399998,3265607.89335,350073166.16712,1479320.37568755,351552486.5428075,257290318.86999997
2019,18921704.35,123937163.4925,3027472.6960000005,332151598.1599,1371445.1312880001,333523043.291188,245982156.55
2020,18674289.46,121382881.49000001,2801143.419,325306122.39320004,1268917.9688070002,326575040.362007,242765762.98000002
2021,21547557.58,144368635.78599998,3878560.3643999994,386907943.90647995,1756987.8450731998,388664931.7515532,280118248.53999996
2022,22615673.68,153786581.024,4296977.9992,412148037.14432,1946531.0336376003,414094568.1779576,294003757.84
2023,25180000.0,176260000.0,5036000.0,472376800.0,2281308.0,474658108.0,327340000.0
