Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,482893.471,5794721.652000001,342854.36441,15529854.027360003,155313.02707773,15685167.054437734,5311828.181
2013,489525.538,5972211.5636,352458.38736,16005526.990448002,159663.64947408,16165190.639922082,5384780.918
2014,508174.328,6301361.6672,376049.00272,16887649.268096,170350.19823216,17057999.46632816,5589917.608
2015,555180.921,6939761.512499999,427489.30916999996,18598560.853499997,193652.65705401,18792213.51055401,6106990.131
2016,564432.55,7168293.385,440257.389,19211026.2718,199436.59721700003,19410462.869017,6208758.050000001
2017,602925.565,7838032.344999999,488369.70765,21005926.6846,221231.47756545,21227158.162165448,6632181.215
2018,631969.444,8341996.6608,518214.94408,22356551.050944,234751.36966824,22591302.420612242,6951663.884000001
2019,604193.766,7854518.958,489396.95045999996,21050110.80744,221696.81855837998,21271807.62599838,6646131.425999999
2020,596293.498,7632556.7744,477034.7984,20455252.155392002,216096.76367520003,20671348.919067204,6559228.478
2021,688040.555,9150939.381500002,577954.0662,24524517.542420007,261813.1919886,24786330.734408606,7568446.105
2022,722146.842,9748982.366999999,621046.28412,26127272.743559998,281333.96670636,26408606.71026636,7943615.261999999
2023,804029.0,11256406.0,723626.1,30167168.080000002,327802.6233,30494970.703300003,8844319.0
