Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,27026644.79,189186513.53,5675595.4059,507019856.26040006,2571044.7188727,509590900.9792728,459452961.43
2013,27397829.17,194524587.107,5753544.1257,521325893.44676,2606355.4889420997,523932248.9357021,465763095.89000005
2014,28441567.08,204779282.97599998,6257144.757599999,548808478.37568,2834486.5751928,551642964.9508728,483506640.35999995
2015,31072438.22,231489664.739,7457385.1728,620392301.50052,3378195.4832784,623770496.9837984,528231449.74
2016,31590234.62,236926759.65,7897558.655,634963715.8620001,3577594.0707150004,638541309.932715,537033988.54
2017,33744616.71,256459086.996,8773600.344600001,687310353.1492801,3974440.956103801,691284794.1053839,573658484.07
2018,35370148.32,272350142.064,9549940.046400001,729898380.73152,4326122.841019201,734224503.5725392,601292521.44
2019,33815595.54,258689305.881,8961132.8181,693287339.76108,4059393.1665993,697346732.9276793,574865124.18
2020,33373432.32,253638085.632,8677092.4032,679750069.49376,3930722.8586496003,683680792.3524096,567348349.44
2021,38508343.57,300365079.846,10782336.199600002,804978413.9872801,4884398.298418801,809862812.2856989,654641840.69
2022,40417208.71,319295948.809,11518904.48235,855713142.8081201,5218063.73050455,860931206.5386246,687092548.07
2023,45000000.0,360000000.0,13500000.0,964800000.0,6115500.0,970915500.0,765000000.0
