Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,396390.79,6104418.166,325040.44779999997,16359840.684880001,147243.3228534,16507084.0077334,4360298.6899999995
2013,401834.828,6228439.834,333522.90724,16692218.75512,151085.87697972,16843304.63209972,4420183.108
2014,417142.984,6507430.5504,354571.5364,17439913.875072002,160620.9059892,17600534.781061202,4588572.824
2015,455729.094,7200519.6852,396484.31178,19297392.756336,179607.39323634,19477000.14957234,5013020.034
2016,463323.441,7413175.056,416991.0969,19867309.15008,188896.9668957,20056206.1169757,5096557.851
2017,494921.045,8017720.929,455327.3614,21487492.08972,206263.2947142,21693755.3844342,5444131.495
2018,518762.175,8507699.67,487636.4445,22800635.1156,220899.3093585,23021534.4249585,5706383.925
2019,495962.068,8108979.811800001,456285.10256,21732065.895624004,206697.15145968003,21938763.047083683,5455582.748000001
2020,489477.007,7978475.2141,445424.07637,21382313.573788002,201777.10659561,21584090.68038361,5384247.077
2021,564789.039,9262540.239599999,536549.58705,24823607.842127997,243056.96293365,25066664.805061646,6212679.429
2022,592785.728,9840243.084800001,575002.15616,26371851.467264004,260475.97674048002,26632327.444004484,6520643.008
2023,660000.0,11220000.0,660000.0,30069600.0,298980.0,30368580.0,7260000.0
