Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,11729563.84,73896252.192,3636164.7904,198041955.87456003,1647182.6500512,199689138.52461123,164213893.76
2013,11890657.86,76100210.304,3805010.5152,203948563.61472002,1723669.7633856,205672233.3781056,166469210.04
2014,12343640.11,81468024.726,4196837.6374,218334306.26568002,1901167.4497422003,220235473.7154222,172810961.54
2015,13485438.19,93049523.511,4989612.130299999,249372723.00948003,2260294.2950259,251633017.30450594,188796134.66
2016,13710161.82,97342148.92199999,5346963.109800001,260876959.11095998,2422174.2887394005,263299133.3996994,191942265.48000002
2017,14645163.65,106909694.645,6004517.0965,286517981.6486,2720046.2447145,289238027.8933145,205032291.1
2018,15350644.37,115129832.77499999,6447270.635399999,308547951.837,2920613.5978361997,311468565.4348362,214909021.17999998
2019,14675968.46,107134569.758,6017147.0686,287120646.95144004,2725767.6220758,289846414.57351583,205463558.44
2020,14484069.63,104285301.33600001,5793627.852000001,279484607.58048004,2624513.4169560005,282109120.99743605,202776974.82000002
2021,16712621.11,128687182.54699999,7353553.2884,344881649.22596,3331159.6396452,348212808.86560524,233976695.54
2022,17541068.58,136820334.924,8068891.5468,366678497.59632003,3655207.8707004,370333705.46702045,245574960.11999997
2023,19530000.0,156240000.0,9765000.0,418723200.0,4423545.0,423146745.0,273420000.0
