Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,2102072,23543206.4,735725.2,63095793.152,333283.5156,63429076.667600006,31531080
2013,2130942,24292738.8,852376.8,65104539.984,386126.7,65490666.684,31964130
2014,2212122,25660615.2,995454.9,68770448.736,450941.0697,69221389.8057,33181830
2015,2416745,28517591.0,1208372.5,76427143.88,547394.1,76974537.97999999,36251175
2016,2457018,29484216.0,1351359.9,79017698.88,612166.0347,79629864.9147,36855270
2017,2624581,32019888.2,1574748.6,85813300.376,713361.1158,86526661.4918,39368715
2018,2751012,34112548.8,1788157.8,91421630.784,810035.5,92231666.284,41265180
2019,2630102,33139285.2,1841071.4,88813284.336,834005.3442,89647289.6802,39451530
2020,2595711,32965529.7,1946783.25,88347619.596,881892.8,89229512.396,38935665
2021,2995093,38337190.4,2396074.4,102743670.272,1085421.7,103829091.972,44926395
2022,3143561,40551936.9,2672026.85,108679190.892,1210428.16305,109889619.05505,47153415
2023,3500000,45500000.0,3150000.0,121940000.0,1426950.0,123366950.0,52500000
