Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,492485.527,6993294.483399999,354589.57944,18742029.215512,160629.07948632,18902658.29499832,5909826.324
2013,499249.332,7139265.447600001,364452.01236,19133231.399568003,165096.76159908,19298328.16116708,5990991.984
2014,518268.556,7514894.062,388701.417,20139916.08616,176081.741901,20315997.828061,6219222.672
2015,566208.874,8323270.447799999,435980.83297999995,22306364.800104,197499.31733994,22503864.11744394,6794506.488
2016,575644.275,8519535.270000001,449002.5345,22832354.523600005,203398.1481285,23035752.671728503,6907731.300000001
2017,614901.904,9285018.7504,498070.54224000004,24883850.251072,225625.95563472,25109476.20670672,7378822.847999999
2018,644522.703,9861197.3559,528508.6164599999,26428008.913812004,239414.40325637997,26667423.317068383,7734272.436
2019,616195.296,9304548.9696,492956.2368,24936191.238528,223309.1752704,25159500.4137984,7394343.551999999
2020,608138.1,9061257.69,480429.099,24284170.6092,217634.381847,24501804.991047002,7297657.199999999
2021,701707.594,10806296.947600001,589434.37896,28960875.819568004,267013.77366888,29227889.593236886,8420491.128
2022,736491.359,11489265.2004,626017.65515,30791230.737072002,283585.99778295,31074816.73485495,8837896.308
2023,820000.0,13120000.0,738000.0,35161600.0,334314.0,35495914.0,9840000.0
