Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,25423063.87,169063374.7355,2542306.387,453089844.29114,1151664.793311,454241509.084451,406769021.92
2013,25772224.64,172673905.088,2577222.464,462766065.63584,1167481.7761920001,463933547.412032,412355594.24
2014,26754034.1,181927431.88,2675403.41,487565517.43840003,1211957.7447300002,488777475.18313,428064545.6
2015,29228806.88,204601648.16,3507456.8255999996,548332417.0688,1588877.9419967998,549921295.0107968,467660910.08
2016,29715880.69,213954340.96800002,3863064.4897000003,573397633.7942401,1749968.2138341002,575147602.0080742,475454091.04
2017,31742436.12,234894027.28800002,4761365.418,629515993.1318401,2156898.534354,631672891.6661941,507878977.92
2018,33271519.52,249536396.4,5323443.1232,668757542.352,2411519.7348096003,671169062.0868096,532344312.32
2019,31809203.54,236978566.373,4612334.5133,635102557.87964,2089387.5345249,637191945.4141649,508947256.64
2020,31393275.34,232310237.516,4708991.301,622591436.54288,2133173.059353,624724609.602233,502292405.44
2021,36223515.18,275298715.368,6157997.5806,737800557.18624,2789572.9040118,740590130.0902518,579576242.88
2022,38019121.0,292747231.7,6843441.779999999,784562580.956,3100079.12634,787662660.08234,608305936.0
2023,42330000.0,338640000.0,8466000.0,907555200.0,3835098.0,911390298.0,677280000.0
