Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,12612434.24,73782740.30399999,2711673.3616,197737744.01472,1228388.0328048,198966132.04752478,189186513.6
2013,12785653.61,75435356.299,2812843.7942,202166754.88132,1274218.2387726,203440973.1200926,191784804.14999998
2014,13272731.3,80963660.93,3119091.8555,216982611.29240003,1412948.6105415002,218395559.90294152,199090969.5
2015,14500471.17,89902921.25400001,3480113.0807999996,240939828.96072003,1576491.2256023998,242516320.18632242,217507067.55
2016,14742109.49,92875289.787,3832948.4674,248905776.62916002,1736325.6557322,250642102.28489223,221131642.35
2017,15747487.8,99996547.53,4251821.706,267990747.38040003,1926075.2328180003,269916822.613218,236212317.0
2018,16506069.22,105638843.00800002,4621699.381600001,283112099.26144004,2093629.8198648004,285205729.08130485,247591038.3
2019,15780611.25,101784942.5625,4181861.98125,272783646.0675,1894383.4775062501,274678029.5450063,236709168.75
2020,15574268.42,101232744.73,4049309.7892,271303755.87640005,1834337.3345076002,273138093.21090764,233614026.3
2021,17970560.33,120402754.211,5031756.8924,322679381.28548,2279385.8722572,324958767.1577372,269558404.95
2022,18861364.07,128257275.676,5375488.75995,343729498.81168,2435096.40825735,346164595.2199374,282920461.05
2023,21000000.0,147000000.0,6300000.0,393960000.0,2853900.0,396813900.0,315000000.0
