Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,11230471.8,72436543.11,2583008.5140000004,194129935.53480002,1170102.8568420003,195300038.39164203,145996133.4
2013,11384711.28,74000623.32,2732330.7071999996,198321670.4976,1237745.8103615998,199559416.30796158,148001246.64
2014,11818419.17,78001566.522,2954604.7925,209044198.27896002,1338435.9710025,210382634.2499625,153639449.21
2015,12911633.83,87799110.044,3615257.4724000003,235301614.91792002,1637711.6349972002,236939326.5529172,167851239.79
2016,13126795.49,91231228.65550001,3806770.6920999996,244499692.79674006,1724467.1235212998,246224159.92026135,170648341.37
2017,14022013.06,100958494.032,4627264.3098,270568764.00576,2096150.7323394,272664914.7380994,182286169.78
2018,14697475.63,108761319.66200002,4997141.7142,291480336.69416004,2263705.1965326,293744041.89069265,191067183.19
2019,14051507.13,101170851.33600001,4636997.3529,271137881.58048004,2100559.8008637,273238441.3813437,182669592.69
2020,13867773.58,98461192.418,4437687.5456,263875995.68024,2010272.4581568,265886268.1383968,180281056.54
2021,16001500.36,121611402.73599999,5760540.1296,325918559.33247995,2609524.6787088,328528084.01118875,208019504.68
2022,16794697.46,129319170.44200002,6214038.0602,346575376.7845601,2814959.2412706004,349390336.0258307,218331066.98000002
2023,18699000.0,149592000.0,7479600.0,400906560.0,3388258.8000000003,404294818.8,243087000.0
