Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,11765599.37,87653715.3065,3059055.8362,234911957.02142003,1385752.2937985999,236297709.31521863,164718391.17999998
2013,11927188.3,89453912.25,3220340.8410000005,239736484.83,1458814.4009730003,241195299.230973,166980636.20000002
2014,12381562.2,95338028.94,3466837.416,255505917.55920002,1570477.349448,257076394.908648,173341870.79999998
2015,13526868.1,106862257.99,4193329.111,286390851.4132,1899578.0872830001,288290429.50048304,189376153.4
2016,13752282.14,110018257.12,4400730.2848000005,294848929.0816,1993530.8190144002,296842459.9006144,192531949.96
2017,14690156.47,119724775.23050001,4994653.1998000005,320862397.61774004,2262577.8995094,323124975.51724946,205662190.58
2018,15397804.57,127801777.93100001,5389231.5995,342508764.85508007,2441321.9145735,344950086.76965356,215569263.98000002
2019,14721055.92,120712658.54399998,4857948.453600001,323509924.89791995,2200650.6494808,325710575.5474008,206094782.88
2020,14528567.54,117681397.07399999,4649141.6128,315386144.15832,2106061.1505984003,317492205.3089184,203399945.56
2021,16763965.57,142493707.345,6202667.2609,381883135.6846,2809808.2691877,384692943.9537877,234695517.98000002
2022,17594958.19,153076136.253,6686084.1122,410244045.15804,3028796.1028266004,413272841.2608666,246329414.66000003
2023,19590000.0,176310000.0,7836000.0,472510800.0,3549708.0,476060508.0,274260000.0
