Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,1609586.845,11106149.23,1014039.712,29764479.94,459359.9897,30223839.93,19315042.14
2013,1631692.937,11585019.85,1060600.409,31047853.21,480451.9853,31528305.19,19580315.24
2014,1693853.328,12195743.96,1117943.196,32684593.82,506428.268,33191022.09,20326239.94
2015,1850536.321,13786495.59,1276870.061,36947808.19,578422.1379,37526230.32,22206435.85
2016,1881373.973,13922167.4,1316961.781,37311408.63,596583.6868,37907992.32,22576487.68
2017,2009679.395,15273563.4,1446969.164,40933149.92,655477.0315,41588626.95,24116152.74
2018,2106488.833,16219964.01,1537736.848,43469503.56,696594.7922,44166098.35,25277866
2019,2013906.579,15305690,1450012.737,41019249.2,656855.7698,41676104.97,24166878.95
2020,1987573.303,14906799.77,1391301.312,39950223.39,630259.4944,40580482.88,23850879.64
2021,2293385.795,17659070.62,1720039.346,47326309.27,779177.8239,48105487.09,27520629.54
2022,2407069.319,18775140.69,1829372.682,50317377.04,828705.8251,51146082.87,28884831.83
2023,2680000,21440000,2144000,57459200,971232,58430432,32160000
