Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,504497.369,7390886.4558500005,277473.55295000004,19807575.701678004,125695.51948635002,19933271.221164353,5044973.69
2013,511426.145,7517964.3315,286398.6412,20148144.40842,129738.58446360001,20277882.9928836,5114261.45
2014,530909.252,7857456.9296,302618.27363999997,21057984.571328003,137086.07795891998,21195070.649286922,5309092.52
2015,580018.847,8700282.705,339311.02549499995,23316757.649400003,153707.89454923497,23470465.54394924,5800188.47
2016,589684.379,8904234.1229,347913.78361,23863347.449372,157604.94397533,24020952.39334733,5896843.789999999
2017,629899.512,9637462.5336,384238.70232,25828399.590048004,174060.13215096,26002459.722198963,6298995.12
2018,660242.769,10167738.6426,409350.51678,27249539.562168002,185435.78410134002,27434975.346269343,6602427.6899999995
2019,631224.45,9657734.084999999,388203.03674999997,25882727.347799998,175855.97564775,26058583.32344775,6312244.5
2020,622970.737,9469155.202399999,380012.14956999995,25377335.942431998,172145.50375521,25549481.44618721,6229707.369999999
2021,718822.413,11069865.1602,452858.12019,29667238.629336,205144.72844607,29872383.35778207,7188224.129999999
2022,754454.563,11769491.182799999,490395.46595,31542236.369903997,222149.14607535,31764385.515979346,7544545.63
2023,840000.0,13440000.0,588000.0,36019200.0,266364.0,36285564.0,8400000.0
