Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,498491.448,6480388.824,309064.69776,17367442.048320003,140006.30808528,17507448.356405284,4984914.48
2013,505337.738,6670458.1416,328469.5297,17876827.819488,148796.6969541,18025624.5164421,5053377.38
2014,524588.904,6977032.4232,351474.56568,18698446.894176003,159217.97825304,18857664.872429043,5245889.04
2015,573113.86,7794348.495999999,389717.4248,20888853.96928,176541.99343440004,21065395.9627144,5731138.6
2016,582664.327,7982501.2799,413691.67217,21393103.430132,187402.32749301003,21580505.75762501,5826643.2700000005
2017,622400.708,8713609.912,460576.52392,23352474.564160004,208641.16533576,23561115.729495764,6224007.08
2018,652382.736,9263834.8512,495810.87936,24827077.401216,224602.32835008,25051679.72956608,6523827.36
2019,623709.873,8669567.2347,461545.30602,23234440.188996,209080.02362706003,23443520.21262306,6237098.73
2020,615554.418,8433095.5266,443199.18096,22600696.011288,200769.22897488,22801465.240262877,6155544.18
2021,710265.004,10298842.558,532698.753,27600898.05544,241312.535109,27842210.590549,7102650.039999999
2022,745472.961,10883905.2306,574014.17997,29168866.018008,260028.42352641004,29428894.44153441,7454729.61
2023,830000.0,12450000.0,664000.0,33366000.000000004,300792.0,33666792.0,8300000.0
