Year,coal_extracted(tons),fuel_used(liters),electricity_used(kwh),fuel_emission,electricity_emission,total_emission,methane_emission(m3)
2012,402396.711,1488867.8307,229366.12527,3990165.7862760006,103902.85474731,4094068.6410233104,3621570.399
2013,407923.234,1550108.2892,236595.47572,4154290.2150560003,107177.75050116,4261467.96555716,3671309.106
2014,423463.332,1693853.328,249843.36588,4539526.91904,113179.04474364,4652705.96378364,3811169.988
2015,462634.08,1943063.1360000002,286833.1296,5207409.204480001,129935.40770879999,5337344.612188801,4163706.72
2016,470343.493,2022477.0199,301019.83552,5420238.413332,136361.98549056,5556600.39882256,4233091.437
2017,502419.849,2311131.3054,336621.29883,6193831.898472,152489.44836999,6346321.34684199,4521778.641
2018,526622.208,2475124.3776000002,358103.10144,6633333.331968001,162220.70495232,6795554.036920321,4739599.8719999995
2019,503476.645,2290818.73475,337329.35215000005,6139394.20913,152810.19652395003,6292204.405653951,4531289.805
2020,496893.326,2285709.2996,322980.6619,6125700.922928001,146310.2398407,6272011.162768701,4472039.934
2021,573346.449,2981401.5348,401342.5143,7990156.113264001,181808.1589779,8171964.272241901,5160118.041
2022,601767.33,3249543.582,439290.15089999995,8708776.79976,198998.43835769998,8907775.2381177,5415905.97
2023,670000.0,4020000.0,536000.0,10773600.0,242808.0,11016408.0,6030000.0
